Dataset,Seed,AEVariant,Family,FamilyMetricCollapsed,CollapsedMetricValue,FamilyRowCountWithinSeed,MCC
CTU13,42,DVAE,SIGMOID,0.5592066795582891,0.5592066795582891,36,0.5592066795582891
CTU13,42,FF_DAE,CAUCHY,0.5751556223165075,0.5751556223165075,36,0.5751556223165075
CTU13,42,FF_DAE,CONST,0.5536686933303387,0.5536686933303387,9,0.5536686933303387
CTU13,42,FF_DAE,COSINE,0.5732973119670874,0.5732973119670874,36,0.5732973119670874
CTU13,42,FF_DAE,EXPONENTIAL,0.5757532242650464,0.5757532242650464,36,0.5757532242650464
CTU13,42,FF_DAE,FIBONACCI,0.5746295831866354,0.5746295831866354,36,0.5746295831866354
CTU13,42,FF_DAE,LAPLACE,0.5745942981259622,0.5745942981259622,36,0.5745942981259622
CTU13,42,FF_DAE,LINEAR,0.5740092679746791,0.5740092679746791,36,0.5740092679746791
CTU13,42,FF_DAE,LOGISTIC,0.5752412393478454,0.5752412393478454,36,0.5752412393478454
CTU13,42,FF_DAE,SIGMOID,0.5759700626522812,0.5759700626522812,36,0.5759700626522812
CTU13,42,RES_DAE,CAUCHY,0.5888362619957743,0.5888362619957743,36,0.5888362619957743
CTU13,42,RES_DAE,CONST,0.5700931386022762,0.5700931386022762,9,0.5700931386022762
CTU13,42,RES_DAE,COSINE,0.5895204108627894,0.5895204108627894,36,0.5895204108627894
CTU13,42,RES_DAE,EXPONENTIAL,0.5926704762049206,0.5926704762049206,36,0.5926704762049206
CTU13,42,RES_DAE,FIBONACCI,0.5915812940043486,0.5915812940043486,36,0.5915812940043486
CTU13,42,RES_DAE,LAPLACE,0.5882127767736531,0.5882127767736531,36,0.5882127767736531
CTU13,42,RES_DAE,LINEAR,0.590544018051222,0.590544018051222,36,0.590544018051222
CTU13,42,RES_DAE,LOGISTIC,0.5912695465734283,0.5912695465734283,36,0.5912695465734283
CTU13,42,RES_DAE,SIGMOID,0.5911995012611643,0.5911995012611643,36,0.5911995012611643
CTU13,42,SPARSE_DAE,CAUCHY,0.4469199454162623,0.4469199454162623,36,0.4469199454162623
CTU13,42,SPARSE_DAE,CONST,0.4469199454162623,0.4469199454162623,9,0.4469199454162623
CTU13,42,SPARSE_DAE,COSINE,0.4469199454162623,0.4469199454162623,36,0.4469199454162623
CTU13,42,SPARSE_DAE,EXPONENTIAL,0.4469199454162623,0.4469199454162623,36,0.4469199454162623
CTU13,42,SPARSE_DAE,FIBONACCI,0.4469199454162623,0.4469199454162623,36,0.4469199454162623
CTU13,42,SPARSE_DAE,LAPLACE,0.4469199454162623,0.4469199454162623,36,0.4469199454162623
CTU13,42,SPARSE_DAE,LINEAR,0.4469199454162623,0.4469199454162623,36,0.4469199454162623
CTU13,42,SPARSE_DAE,LOGISTIC,0.4469199454162623,0.4469199454162623,36,0.4469199454162623
CTU13,42,SPARSE_DAE,SIGMOID,0.4469199454162623,0.4469199454162623,36,0.4469199454162623
CTU13,123,DVAE,CAUCHY,0.5587040996252919,0.5587040996252919,36,0.5587040996252919
CTU13,123,DVAE,CONST,0.5489656478567345,0.5489656478567345,9,0.5489656478567345
CTU13,123,DVAE,COSINE,0.5581026191299849,0.5581026191299849,36,0.5581026191299849
CTU13,123,DVAE,EXPONENTIAL,0.5497683129350641,0.5497683129350641,36,0.5497683129350641
CTU13,123,DVAE,FIBONACCI,0.5561148975407493,0.5561148975407493,36,0.5561148975407493
CTU13,123,DVAE,LAPLACE,0.5573926712776858,0.5573926712776858,36,0.5573926712776858
CTU13,123,DVAE,LINEAR,0.55766181099364,0.55766181099364,36,0.55766181099364
CTU13,123,DVAE,LOGISTIC,0.5578974617364281,0.5578974617364281,36,0.5578974617364281
CTU13,123,DVAE,SIGMOID,0.5577180162944626,0.5577180162944626,36,0.5577180162944626
CTU13,123,FF_DAE,CAUCHY,0.5610081627569239,0.5610081627569239,36,0.5610081627569239
CTU13,123,FF_DAE,CONST,0.5696686043742798,0.5696686043742798,9,0.5696686043742798
CTU13,123,FF_DAE,COSINE,0.5574234350250102,0.5574234350250102,36,0.5574234350250102
CTU13,123,FF_DAE,EXPONENTIAL,0.5689974013485568,0.5689974013485568,36,0.5689974013485568
CTU13,123,FF_DAE,FIBONACCI,0.5673275240544581,0.5673275240544581,36,0.5673275240544581
CTU13,123,FF_DAE,LAPLACE,0.5629259843820834,0.5629259843820834,36,0.5629259843820834
CTU13,123,FF_DAE,LINEAR,0.5583141332738926,0.5583141332738926,36,0.5583141332738926
CTU13,123,FF_DAE,LOGISTIC,0.5573418597863748,0.5573418597863748,36,0.5573418597863748
CTU13,123,FF_DAE,SIGMOID,0.5601705320125145,0.5601705320125145,36,0.5601705320125145
