Family,AEVariant,metric,delta_column,paired_delta_basis_used,n_pairs,mean_delta_MCC,median_delta_MCC,std_delta_MCC,min_delta_MCC,max_delta_MCC,positive_delta_count,negative_delta_count,zero_delta_count,win_rate_vs_const,test_name,p_value,effect_size,improves_vs_const,inferential_note,mean_delta_MCC_ci_low,mean_delta_MCC_ci_high,median_delta_MCC_ci_low,median_delta_MCC_ci_high,mean_delta_Accuracy,mean_delta_F1_Score,mean_delta_ROC_AUC,mean_delta_PR_AUC,holm_p_value,bh_p_value,significant_holm,significant_bh
COSINE,SPARSE_DAE,MCC,delta_MCC_vs_const_median,median,108,2.07080235524408e-06,0.0,0.0009956067514405797,-0.0026404505297716874,0.002636715928027611,43,24,41,0.39814814814814814,wilcoxon_signed_rank_greater,0.058319621004733646,0.002633179278900281,False,,-0.00018106438175983163,0.00017921751009966348,0.0,0.0,-0.0006230407602201817,0.000360224052881385,-0.000327641301724272,-0.0001575663996856919,0.8747943150710047,0.10367932623063758,False,False
LOGISTIC,SPARSE_DAE,MCC,delta_MCC_vs_const_median,median,108,-5.986536275784639e-05,0.0,0.000992542629283798,-0.0026404505297716874,0.0023282865941758324,43,25,40,0.39814814814814814,wilcoxon_signed_rank_greater,0.15941615567320255,-0.07588507008337823,False,,-0.00024095256522404455,0.00011834594020257976,0.0,0.0,-0.0006365960386455996,0.0003071461505041389,-0.0002935283738826632,-0.0001460225982753241,1.0,0.2684903674496043,False,False
CAUCHY,SPARSE_DAE,MCC,delta_MCC_vs_const_median,median,108,-0.00018613811869430674,0.0,0.0010070325049475759,-0.0028697345972618082,0.0018692514346276834,42,29,37,0.3888888888888889,wilcoxon_signed_rank_greater,0.4931327476517965,-0.2294838696346462,False,,-0.00038538666597970155,4.01713239698806e-06,0.0,0.0,-8.233576525069023e-05,-7.336917309858802e-05,-0.00022521581078091546,-0.00011474175192963018,1.0,0.7890123962428744,False,False
LINEAR,SPARSE_DAE,MCC,delta_MCC_vs_const_median,median,108,-0.00019720982252188768,0.0,0.0009754053919806312,-0.0027905068980872416,0.0018692514346276834,41,32,35,0.37962962962962965,wilcoxon_signed_rank_greater,0.6907843406015861,-0.2478319679942055,False,,-0.00039212348325884556,-1.9162568347415663e-05,0.0,0.0,-0.00011446679559242558,-1.186293097248566e-05,-0.0002791306127528206,-0.000135546726029586,1.0,0.9884346920953334,False,False
LAPLACE,SPARSE_DAE,MCC,delta_MCC_vs_const_median,median,108,-0.00021113099339862488,0.0,0.0011345977586452983,-0.0028697345972618082,0.002098769014401758,43,30,35,0.39814814814814814,wilcoxon_signed_rank_greater,0.6509873949859543,-0.22774820858572778,False,,-0.0004403190091580237,1.618471353733835e-06,0.0,2.711151222673268e-07,-9.63930910251999e-05,-8.162817873263389e-05,-0.00023126306711041504,-0.0001236967363697083,1.0,0.9884346920953334,False,False
EXPONENTIAL,SPARSE_DAE,MCC,delta_MCC_vs_const_median,median,108,-0.00033638383477426387,0.0,0.001170396428678244,-0.0028697345972618082,0.0018692514346276834,39,37,32,0.3611111111111111,wilcoxon_signed_rank_greater,0.9349358366891454,-0.3481057675578601,False,,-0.0005722565431204956,-0.00013032262481899815,0.0,0.0,-0.0001586469623123059,-0.00011573172470031477,-0.00026063450930022166,-0.00013684248586255717,1.0,0.9884346920953334,False,False
FIBONACCI,SPARSE_DAE,MCC,delta_MCC_vs_const_median,median,108,-0.0005434113514795084,0.0,0.001255754945232892,-0.0029489606126154033,0.001661942610637901,44,38,26,0.4074074074074074,wilcoxon_signed_rank_greater,0.977443295436266,-0.5114513455662477,False,,-0.0008010617212215737,-0.0003145424195335475,0.0,7.864148433600615e-05,-0.0008218515104596519,8.382143875166707e-05,-0.00034713700329525135,-0.0001786807243092011,1.0,0.9884346920953334,False,False
EXPONENTIAL,DVAE,MCC,delta_MCC_vs_const_median,median,108,-0.005735717892370664,-0.000612679372310132,0.022744621020709288,-0.08148840993047335,0.03513171571085072,46,62,0,0.42592592592592593,wilcoxon_signed_rank_greater,0.9787771759209818,-0.2521790926696926,False,,-0.009982448367451213,-0.0015565245923672532,-0.004439986789372709,0.00036008629227624045,-0.00751464472117293,-0.0074913989454661635,0.0061486472833827245,-0.0007044505139865596,1.0,0.9884346920953334,False,False
CAUCHY,DVAE,MCC,delta_MCC_vs_const_median,median,108,-0.005926441035895576,-0.0002461759497459637,0.023826847915219402,-0.08683430002138925,0.036309519541545265,50,58,0,0.46296296296296297,wilcoxon_signed_rank_greater,0.9707006897106998,-0.24872954478638074,False,,-0.010415881480379162,-0.0016201380266518102,-0.004502234687302709,0.0007797320786880335,-0.0065798325571681145,-0.010341746719690475,0.005153093982522138,-0.0017012231572710848,1.0,0.9884346920953334,False,False
LAPLACE,DVAE,MCC,delta_MCC_vs_const_median,median,108,-0.006466553916072927,-0.0006110289413316372,0.02504666690692811,-0.08706904861195586,0.0362975189918161,46,62,0,0.42592592592592593,wilcoxon_signed_rank_greater,0.9773327707841657,-0.25818021774490263,False,,-0.011081173334231037,-0.0020714699564270437,-0.00431633437213786,0.0001316730737897509,-0.008579989195941039,-0.008415152236929926,0.004619191815473167,-0.0016931582758475383,1.0,0.9884346920953334,False,False
LOGISTIC,DVAE,MCC,delta_MCC_vs_const_median,median,108,-0.006482098306759538,-0.0013778921911141162,0.023450243184790318,-0.0786623158823081,0.03539158155918287,45,63,0,0.4166666666666667,wilcoxon_signed_rank_greater,0.9870717304623048,-0.27641923605668056,False,,-0.010760315999915261,-0.002006381707028873,-0.006120693222652407,0.00037346856957823674,-0.006622506581840732,-0.011127284781449318,0.0039664291557051975,-0.002292083649698204,1.0,0.9884346920953334,False,False
LINEAR,DVAE,MCC,delta_MCC_vs_const_median,median,108,-0.006509658234148628,-0.0010410101012728878,0.02388268303396649,-0.07889910332537242,0.03584102149357027,48,60,0,0.4444444444444444,wilcoxon_signed_rank_greater,0.9859053492059002,-0.27256812915943646,False,,-0.010908636269588006,-0.0019932808763991118,-0.005852880205393818,0.000346167566623585,-0.0066089513034153155,-0.011013434366312755,0.0022971533543535427,-0.0024491864132632707,1.0,0.9884346920953334,False,False
COSINE,DVAE,MCC,delta_MCC_vs_const_median,median,108,-0.006515133705692886,-0.0010494906480318367,0.023270983722940248,-0.07878533163517043,0.03572863990249264,46,62,0,0.42592592592592593,wilcoxon_signed_rank_greater,0.985231749897948,-0.2799681260999027,False,,-0.01082524346387364,-0.0019908974423084322,-0.0056979108827673874,0.00039558542452088,-0.006624514771237092,-0.011194053872443132,0.004159545891166471,-0.0023435160104723833,1.0,0.9884346920953334,False,False
FIBONACCI,DVAE,MCC,delta_MCC_vs_const_median,median,108,-0.0065448091211704916,-0.0007346419284233741,0.02575345013525411,-0.088620998586312,0.03480000614677903,50,58,0,0.46296296296296297,wilcoxon_signed_rank_greater,0.9644915014526177,-0.2541332942399479,False,,-0.011420719374440415,-0.0019619366115401758,-0.004229691902443156,0.0002717187592684578,-0.007128068262373954,-0.009421576269699243,0.005262996841211076,-0.0008802191302573511,1.0,0.9884346920953334,False,False
SIGMOID,DVAE,MCC,delta_MCC_vs_const_median,median,108,-0.006679991312553381,-0.0007902500830768711,0.023669476902727644,-0.07933561595197247,0.035389190630348955,45,63,0,0.4166666666666667,wilcoxon_signed_rank_greater,0.9884346920953334,-0.2822196426107485,False,,-0.011047103774609029,-0.0022006935759832074,-0.006956680606606203,0.00021668204053804097,-0.0070763573854177204,-0.01116403164354918,0.004838083438288675,-0.002334202817203705,1.0,0.9884346920953334,False,False
