Family,AEVariant,metric,delta_column,paired_delta_basis_used,n_pairs,mean_delta_MCC,median_delta_MCC,std_delta_MCC,min_delta_MCC,max_delta_MCC,positive_delta_count,negative_delta_count,zero_delta_count,win_rate_vs_const,test_name,p_value,effect_size,improves_vs_const,inferential_note,mean_delta_MCC_ci_low,mean_delta_MCC_ci_high,median_delta_MCC_ci_low,median_delta_MCC_ci_high,mean_delta_Accuracy,mean_delta_F1_Score,mean_delta_ROC_AUC,mean_delta_PR_AUC,holm_p_value,bh_p_value,significant_holm,significant_bh
COSINE,SPARSE_DAE,MCC,delta_MCC_vs_const_median,median,108,4.0988489861054015e-06,0.0,6.916799785527956e-05,-0.00013398928838481705,0.00020427691328717135,25,33,50,0.23148148148148148,wilcoxon_signed_rank_greater,0.3221463443522372,0.08066080254037454,False,,-7.89785457976924e-06,1.7724588388335845e-05,0.0,0.0,1.8703055330993446e-06,4.41959540036312e-06,6.817621936801967e-06,4.7774709405746505e-06,1.0,0.4908896675843614,False,False
SIGMOID,SPARSE_DAE,MCC,delta_MCC_vs_const_median,median,108,3.466183932572171e-06,0.0,6.951744689565749e-05,-0.00013398928838481705,0.00020427691328717135,25,34,49,0.23148148148148148,wilcoxon_signed_rank_greater,0.3696349358726256,0.06726740083870468,False,,-8.590175490821913e-06,1.7091923334802614e-05,0.0,0.0,1.5585879442470553e-06,4.062201486743078e-06,6.738984254909017e-06,4.67203337776332e-06,1.0,0.5376508158147282,False,False
LAPLACE,SPARSE_DAE,MCC,delta_MCC_vs_const_median,median,108,1.6044455737504357e-06,0.0,7.460961442876017e-05,-0.00013480665702569894,0.00020427691328717135,33,35,40,0.3055555555555556,wilcoxon_signed_rank_greater,0.2931624167464244,0.02703025698010609,False,,-1.4007723167970555e-05,1.58814911185301e-05,0.0,0.0,6.23435177689159e-07,3.068851845704161e-06,2.39535213301482e-06,1.444905864074732e-06,1.0,0.4690598667942791,False,False
FIBONACCI,SPARSE_DAE,MCC,delta_MCC_vs_const_median,median,108,-5.901631397717575e-06,0.0,7.968787902202007e-05,-0.0002661240719986635,0.0002721036328902082,32,47,29,0.2962962962962963,wilcoxon_signed_rank_greater,0.7013658709577723,-0.08653137902909977,False,,-2.0953788460154104e-05,9.137091431623058e-06,-1.1349241126890064e-06,0.0,-3.1171758885383138e-06,-9.303463315321922e-07,6.300632216310403e-07,-2.13521682605487e-07,1.0,0.9758133856803788,False,False
EXPONENTIAL,SPARSE_DAE,MCC,delta_MCC_vs_const_median,median,108,-1.0436853140651217e-05,0.0,6.919294878112026e-05,-0.00013480665702569894,0.00020427691328717135,26,43,39,0.24074074074074073,wilcoxon_signed_rank_greater,0.7998874663083666,-0.18944448177508538,False,,-2.353803412896918e-05,2.1354583271904616e-06,0.0,0.0,-5.299199010500228e-06,-4.160129048186712e-06,-6.06339317045358e-07,-7.963454221285818e-07,1.0,0.9999999764710551,False,False
FIBONACCI,DVAE,MCC,delta_MCC_vs_const_median,median,108,-0.010345020506980754,-0.002805517437059646,0.027351920963755303,-0.06462412536835516,0.0434618635753492,43,65,0,0.39814814814814814,wilcoxon_signed_rank_greater,0.9985115963166363,-0.37821915763470415,False,,-0.01568433444716186,-0.005672759447878811,-0.010287932670072431,-0.0003026851067566283,-0.00430575505481231,-0.0040580262866836015,-0.000244734853223293,-0.0009646109002896211,1.0,0.9999999764710551,False,False
EXPONENTIAL,DVAE,MCC,delta_MCC_vs_const_median,median,108,-0.01142710526362596,-0.003410374045548503,0.02793059273408447,-0.06926244995962483,0.042742966575753494,44,64,0,0.4074074074074074,wilcoxon_signed_rank_greater,0.9993691009270502,-0.40912505409425215,False,,-0.016509828064604916,-0.006329839025673052,-0.010273333511211291,-4.712923313732187e-05,-0.004919215269673012,-0.00493462828440703,-0.0010001616487055897,-0.001634030642754754,1.0,0.9999999764710551,False,False
LAPLACE,DVAE,MCC,delta_MCC_vs_const_median,median,108,-0.012040432739859051,-0.005874167231199656,0.02642607711359148,-0.06456033238166603,0.04332024284203617,41,67,0,0.37962962962962965,wilcoxon_signed_rank_greater,0.9999031955515534,-0.4556269433275354,False,,-0.016967220455177567,-0.0074228471134521355,-0.014382312952935194,-0.0009718375708036356,-0.005247453890734154,-0.0052424330645795,-0.0013005028571387361,-0.0018941180044558309,1.0,0.9999999764710551,False,False
CAUCHY,DVAE,MCC,delta_MCC_vs_const_median,median,108,-0.014169924077845541,-0.007327826738837473,0.02835922817148548,-0.060213529228761664,0.04165739157673998,42,66,0,0.3888888888888889,wilcoxon_signed_rank_greater,0.9999799836237895,-0.4996583119844355,False,,-0.01937566790361122,-0.009115371278609506,-0.021526252384118094,-0.0002647357114583526,-0.00662960967970383,-0.007239785311683537,-0.002045893074201011,-0.002597633812676214,1.0,0.9999999764710551,False,False
LOGISTIC,DVAE,MCC,delta_MCC_vs_const_median,median,108,-0.018516335678312016,-0.01656203322661609,0.029050883560770343,-0.07607585602446909,0.0425133832467417,35,73,0,0.32407407407407407,wilcoxon_signed_rank_greater,0.9999999556993042,-0.6373759902669082,False,,-0.023956217122532864,-0.013110362559624413,-0.02393439847826244,-0.004251644097784034,-0.009242114791872291,-0.010710335547355081,-0.0037364075891090486,-0.004126744174768759,1.0,0.9999999764710551,False,False
SIGMOID,DVAE,MCC,delta_MCC_vs_const_median,median,108,-0.01854927675149494,-0.016478396817378116,0.02945131115055908,-0.08191066348796694,0.04237181220628983,35,73,0,0.32407407407407407,wilcoxon_signed_rank_greater,0.9999999492874643,-0.629828555205529,False,,-0.02413533755740256,-0.013141487420178217,-0.025058173164158586,-0.005134667340757848,-0.00913613081166263,-0.010523833544074856,-0.0036485363762839623,-0.004011038539545188,1.0,0.9999999764710551,False,False
COSINE,DVAE,MCC,delta_MCC_vs_const_median,median,108,-0.01858208238144419,-0.016666798195560995,0.029075807462379807,-0.07575311595807199,0.04279338190582038,34,74,0,0.3148148148148148,wilcoxon_signed_rank_greater,0.9999999644798679,-0.6390908457090253,False,,-0.02406256480626467,-0.013289646161289343,-0.024593602154923788,-0.004330262257579351,-0.00917696581580223,-0.010527844907493774,-0.0037459522979971785,-0.0041295326426009395,1.0,0.9999999764710551,False,False
LINEAR,DVAE,MCC,delta_MCC_vs_const_median,median,108,-0.019146205149757862,-0.018326758399479337,0.02967984106649924,-0.07874226494887349,0.04309074840097693,33,75,0,0.3055555555555556,wilcoxon_signed_rank_greater,0.9999999764710551,-0.6450912289663107,False,,-0.02472581429301091,-0.013643433676775259,-0.02518805501921284,-0.00463072695500899,-0.009569106542578023,-0.011073387395767605,-0.003974756552474631,-0.0044005361111085625,1.0,0.9999999764710551,False,False
