Dataset,Seed,AEVariant,Family,FamilyMetricCollapsed,CollapsedMetricValue,FamilyRowCountWithinSeed,MCC
UNSW_NB15,42,SPARSE_DAE,FIBONACCI,0.4601415985918935,0.4601415985918935,36,0.4601415985918935
UNSW_NB15,42,SPARSE_DAE,LAPLACE,0.4601415985918935,0.4601415985918935,36,0.4601415985918935
UNSW_NB15,42,SPARSE_DAE,LINEAR,0.4601415985918935,0.4601415985918935,36,0.4601415985918935
UNSW_NB15,42,SPARSE_DAE,LOGISTIC,0.4601415985918935,0.4601415985918935,36,0.4601415985918935
UNSW_NB15,42,SPARSE_DAE,SIGMOID,0.4601415985918935,0.4601415985918935,36,0.4601415985918935
UNSW_NB15,123,DVAE,CAUCHY,0.480124016158362,0.480124016158362,36,0.480124016158362
UNSW_NB15,123,DVAE,CONST,0.4800046849748167,0.4800046849748167,9,0.4800046849748167
UNSW_NB15,123,DVAE,COSINE,0.4801407470467604,0.4801407470467604,36,0.4801407470467604
UNSW_NB15,123,DVAE,EXPONENTIAL,0.43939772956097756,0.43939772956097756,36,0.43939772956097756
UNSW_NB15,123,DVAE,FIBONACCI,0.43483595268095476,0.43483595268095476,36,0.43483595268095476
UNSW_NB15,123,DVAE,LAPLACE,0.48016874256837155,0.48016874256837155,36,0.48016874256837155
UNSW_NB15,123,DVAE,LINEAR,0.48019199061080076,0.48019199061080076,36,0.48019199061080076
UNSW_NB15,123,DVAE,LOGISTIC,0.480139882113348,0.480139882113348,36,0.480139882113348
UNSW_NB15,123,DVAE,SIGMOID,0.4801473650768363,0.4801473650768363,36,0.4801473650768363
UNSW_NB15,123,FF_DAE,CAUCHY,0.5323136982004661,0.5323136982004661,36,0.5323136982004661
UNSW_NB15,123,FF_DAE,CONST,0.5343437295235722,0.5343437295235722,9,0.5343437295235722
UNSW_NB15,123,FF_DAE,COSINE,0.5343945627821511,0.5343945627821511,36,0.5343945627821511
UNSW_NB15,123,FF_DAE,EXPONENTIAL,0.5300557268243864,0.5300557268243864,36,0.5300557268243864
UNSW_NB15,123,FF_DAE,FIBONACCI,0.5305324702853563,0.5305324702853563,36,0.5305324702853563
UNSW_NB15,123,FF_DAE,LAPLACE,0.5316647659757338,0.5316647659757338,36,0.5316647659757338
UNSW_NB15,123,FF_DAE,LINEAR,0.5345381513870764,0.5345381513870764,36,0.5345381513870764
UNSW_NB15,123,FF_DAE,LOGISTIC,0.5345922247425622,0.5345922247425622,36,0.5345922247425622
UNSW_NB15,123,FF_DAE,SIGMOID,0.5332691557902938,0.5332691557902938,36,0.5332691557902938
UNSW_NB15,123,RES_DAE,CAUCHY,0.529721151480991,0.529721151480991,36,0.529721151480991
UNSW_NB15,123,RES_DAE,CONST,0.5036546655682412,0.5036546655682412,9,0.5036546655682412
UNSW_NB15,123,RES_DAE,COSINE,0.5339584283537278,0.5339584283537278,36,0.5339584283537278
UNSW_NB15,123,RES_DAE,EXPONENTIAL,0.5398722068627859,0.5398722068627859,36,0.5398722068627859
UNSW_NB15,123,RES_DAE,FIBONACCI,0.5419290519016411,0.5419290519016411,36,0.5419290519016411
UNSW_NB15,123,RES_DAE,LAPLACE,0.5422372546858774,0.5422372546858774,36,0.5422372546858774
UNSW_NB15,123,RES_DAE,LINEAR,0.5291930855778904,0.5291930855778904,36,0.5291930855778904
UNSW_NB15,123,RES_DAE,LOGISTIC,0.5438665804112157,0.5438665804112157,36,0.5438665804112157
UNSW_NB15,123,RES_DAE,SIGMOID,0.5333917720418041,0.5333917720418041,36,0.5333917720418041
UNSW_NB15,123,SPARSE_DAE,CAUCHY,0.4660127437229774,0.4660127437229774,36,0.4660127437229774
UNSW_NB15,123,SPARSE_DAE,CONST,0.4659869285061259,0.4659869285061259,9,0.4659869285061259
UNSW_NB15,123,SPARSE_DAE,COSINE,0.4660127437229774,0.4660127437229774,36,0.4660127437229774
UNSW_NB15,123,SPARSE_DAE,EXPONENTIAL,0.4660127437229774,0.4660127437229774,36,0.4660127437229774
UNSW_NB15,123,SPARSE_DAE,FIBONACCI,0.46602565149396985,0.46602565149396985,36,0.46602565149396985
UNSW_NB15,123,SPARSE_DAE,LAPLACE,0.4660127437229774,0.4660127437229774,36,0.4660127437229774
UNSW_NB15,123,SPARSE_DAE,LINEAR,0.4660127437229774,0.4660127437229774,36,0.4660127437229774
UNSW_NB15,123,SPARSE_DAE,LOGISTIC,0.4660127437229774,0.4660127437229774,36,0.4660127437229774
UNSW_NB15,123,SPARSE_DAE,SIGMOID,0.4660127437229774,0.4660127437229774,36,0.4660127437229774
