Dataset,Seed,AEVariant,Family,FamilyMetricCollapsed,CollapsedMetricValue,FamilyRowCountWithinSeed,MCC
HIKARI2021,42,FF_DAE,CAUCHY,0.15839594888234793,0.15839594888234793,36,0.15839594888234793
HIKARI2021,42,FF_DAE,CONST,0.192044810837911,0.192044810837911,9,0.192044810837911
HIKARI2021,42,FF_DAE,COSINE,0.15115931565575141,0.15115931565575141,36,0.15115931565575141
HIKARI2021,42,FF_DAE,EXPONENTIAL,0.1518147230163757,0.1518147230163757,36,0.1518147230163757
HIKARI2021,42,FF_DAE,FIBONACCI,0.1516943123501669,0.1516943123501669,36,0.1516943123501669
HIKARI2021,42,FF_DAE,LAPLACE,0.15925435268160054,0.15925435268160054,36,0.15925435268160054
HIKARI2021,42,FF_DAE,LINEAR,0.14906537227909844,0.14906537227909844,36,0.14906537227909844
HIKARI2021,42,FF_DAE,LOGISTIC,0.15388174158318765,0.15388174158318765,36,0.15388174158318765
HIKARI2021,42,FF_DAE,SIGMOID,0.1543377714107863,0.1543377714107863,36,0.1543377714107863
HIKARI2021,42,RES_DAE,CAUCHY,0.16540390790361248,0.16540390790361248,36,0.16540390790361248
HIKARI2021,42,RES_DAE,CONST,0.1882653667706435,0.1882653667706435,9,0.1882653667706435
HIKARI2021,42,RES_DAE,COSINE,0.16524190827363014,0.16524190827363014,36,0.16524190827363014
HIKARI2021,42,RES_DAE,EXPONENTIAL,0.16399238450042342,0.16399238450042342,36,0.16399238450042342
HIKARI2021,42,RES_DAE,FIBONACCI,0.1609692975603568,0.1609692975603568,36,0.1609692975603568
HIKARI2021,42,RES_DAE,LAPLACE,0.15969334759219206,0.15969334759219206,36,0.15969334759219206
HIKARI2021,42,RES_DAE,LINEAR,0.1677350056846283,0.1677350056846283,36,0.1677350056846283
HIKARI2021,42,RES_DAE,LOGISTIC,0.1607927229697203,0.1607927229697203,36,0.1607927229697203
HIKARI2021,42,RES_DAE,SIGMOID,0.16682547291276079,0.16682547291276079,36,0.16682547291276079
HIKARI2021,42,SPARSE_DAE,CAUCHY,0.2585824041623108,0.2585824041623108,36,0.2585824041623108
HIKARI2021,42,SPARSE_DAE,CONST,0.2586532197922436,0.2586532197922436,9,0.2586532197922436
HIKARI2021,42,SPARSE_DAE,COSINE,0.2585859585562706,0.2585859585562706,36,0.2585859585562706
HIKARI2021,42,SPARSE_DAE,EXPONENTIAL,0.2585859585562706,0.2585859585562706,36,0.2585859585562706
HIKARI2021,42,SPARSE_DAE,FIBONACCI,0.2585859585562706,0.2585859585562706,36,0.2585859585562706
HIKARI2021,42,SPARSE_DAE,LAPLACE,0.2585859585562706,0.2585859585562706,36,0.2585859585562706
HIKARI2021,42,SPARSE_DAE,LINEAR,0.2585859585562706,0.2585859585562706,36,0.2585859585562706
