Family,AEVariant,metric,delta_column,paired_delta_basis_used,n_pairs,mean_delta_MCC,median_delta_MCC,std_delta_MCC,min_delta_MCC,max_delta_MCC,positive_delta_count,negative_delta_count,zero_delta_count,win_rate_vs_const,test_name,p_value,effect_size,improves_vs_const,inferential_note,mean_delta_MCC_ci_low,mean_delta_MCC_ci_high,median_delta_MCC_ci_low,median_delta_MCC_ci_high,mean_delta_Accuracy,mean_delta_F1_Score,mean_delta_ROC_AUC,mean_delta_PR_AUC,holm_p_value,bh_p_value,significant_holm,significant_bh
SIGMOID,FF_DAE,MCC,delta_MCC_vs_const_median,median,108,0.0016942228506117958,0.0016991150421265533,0.01871773492763661,-0.07802012059934366,0.03568094787719467,62,46,0,0.5740740740740741,wilcoxon_signed_rank_greater,0.029095394487156975,0.09051430940074769,True,,-0.0018379762941743958,0.005059887368772031,-0.00036047899632685176,0.00347630647071262,-0.001341437296340851,-0.0005503106021775233,0.007336767176994547,0.007732730823893959,0.6732288140360912,0.09310526235890232,False,False
CAUCHY,FF_DAE,MCC,delta_MCC_vs_const_median,median,108,0.0014952783040376172,0.0006671125179713577,0.017346922075027214,-0.06437565000440226,0.04269592249927123,59,49,0,0.5462962962962963,wilcoxon_signed_rank_greater,0.12518970304518945,0.08619847933161785,False,,-0.0019459366784199076,0.0046147662150098235,-0.0008102959231002238,0.0022643724841562296,-0.0011824268480068456,-0.00022328385086431527,0.009320930017193703,0.00902551968703091,1.0,0.33383920812050516,False,False
EXPONENTIAL,FF_DAE,MCC,delta_MCC_vs_const_median,median,108,0.0007286252533827497,-0.0003009852442008021,0.01467163377360677,-0.04168665736506394,0.04152906181112781,52,56,0,0.48148148148148145,wilcoxon_signed_rank_greater,0.4755590129492331,0.04966217563607897,False,,-0.0020600573257004086,0.0034956776269585857,-0.0026983353244321995,0.001776590295616514,-0.003176974855866457,-0.0031365632474054765,0.011935810543815165,0.011019419330769073,1.0,0.8571562113719855,False,False
LAPLACE,FF_DAE,MCC,delta_MCC_vs_const_median,median,108,0.0005116718394041167,-0.00033227871785318497,0.018041559501398907,-0.07117798692548005,0.04454826860861616,50,58,0,0.46296296296296297,wilcoxon_signed_rank_greater,0.416250590151266,0.028360732304548397,False,,-0.0030865762209595434,0.0038209730521756276,-0.0018189776000701596,0.001959948994469496,-0.001919804113501473,-0.0010435562699392747,0.010084202089234908,0.009252701933787015,1.0,0.832501180302532,False,False
FIBONACCI,SPARSE_DAE,MCC,delta_MCC_vs_const_median,median,108,4.929957650048117e-05,0.0,0.0005685075876285866,-0.0016326357382454026,0.0036413348992379024,43,39,26,0.39814814814814814,wilcoxon_signed_rank_greater,0.6605797162072926,0.09949257564082663,False,,-3.925690832807477e-05,0.00015903689438981144,0.0,0.0,-0.00014948778871625752,-0.0002861421696144547,1.0266488114156634e-05,1.0602469939445884e-05,1.0,0.8981789841370362,False,False
EXPONENTIAL,SPARSE_DAE,MCC,delta_MCC_vs_const_median,median,108,4.174347439653949e-05,0.0,0.0004862750782008783,-0.0015307198684668677,0.002543298413407502,42,39,27,0.3888888888888889,wilcoxon_signed_rank_greater,0.6736342381027772,0.09909174279875614,False,,-3.675784614830015e-05,0.00013120694168941113,0.0,0.0,-0.0001584714298650721,-0.00029960442723330594,7.0540123143143425e-06,7.978544867655159e-06,1.0,0.8981789841370362,False,False
LAPLACE,SPARSE_DAE,MCC,delta_MCC_vs_const_median,median,108,3.5011472374087804e-05,0.0,0.0003664336247064613,-0.0016326357382454026,0.002032784614297123,43,38,27,0.39814814814814814,wilcoxon_signed_rank_greater,0.48215036889674184,0.11032524185894546,False,,-3.189260793671211e-05,0.00010043325613444347,0.0,0.0,-0.00012469293914553532,-0.000238098129993872,1.999285529488384e-06,4.099629281255911e-06,1.0,0.8571562113719855,False,False
LINEAR,SPARSE_DAE,MCC,delta_MCC_vs_const_median,median,108,1.5228641120484737e-05,0.0,0.00019569045802896392,-0.0007743058125794788,0.0008014619003238188,43,36,29,0.39814814814814814,wilcoxon_signed_rank_greater,0.34961844191808295,0.09093506270738456,False,,-2.1875045760962016e-05,5.1050798635890534e-05,0.0,0.0,-0.00010097612651266511,-0.0001893764216289934,-3.556923494775745e-06,-2.1118990420035092e-07,1.0,0.765256201377293,False,False
CAUCHY,SPARSE_DAE,MCC,delta_MCC_vs_const_median,median,108,9.166343944203632e-06,0.0,0.00017368246147113505,-0.0007743058125794788,0.0004647237300128282,43,36,29,0.39814814814814814,wilcoxon_signed_rank_greater,0.3587138443956061,0.06163344961518446,False,,-2.5487234483048143e-05,4.101272436541145e-05,0.0,0.0,-0.00010582729273302578,-0.00019574797982665522,-5.455677189529649e-06,-1.6578024306749632e-06,1.0,0.765256201377293,False,False
LOGISTIC,SPARSE_DAE,MCC,delta_MCC_vs_const_median,median,108,-2.028829207902557e-06,0.0,0.00019668941946157577,-0.0007743058125794788,0.0007079299407096173,41,38,29,0.37962962962962965,wilcoxon_signed_rank_greater,0.6191382727380141,-0.012039962255315782,False,,-3.824135219260521e-05,3.528674896890006e-05,0.0,0.0,-0.00011481093388183931,-0.00020740592860557825,-5.970828744327482e-06,-2.099254595315257e-06,1.0,0.8981789841370362,False,False
